codigo;natureza
6357;Prestação de serviço de transporte a não
6359;Prestação de serviço de transporte a con
6401;Venda de produção do estabelecimento em
6402;Venda de produção do estabelecimento de
6403;Venda de mercadoria adquirida ou recebid
6404;Venda de mercadoria sujeita ao regime de
6408;Transferência de produção do estabelecim
6409;Transferência de mercadoria adquirida ou
6410;Devolução de compra para industrializaçã
6411;Devolução de compra para comercialização
6412;Devolução de bem do ativo imobilizado, e
6413;Devolução de mercadoria destinada ao uso
6414;Remessa de produção do estabelecimento p
6415;Remessa de mercadoria adquirida ou receb
6501;Remessa de produção do estabelecimento,
6502;Remessa de mercadoria adquirida ou receb
6503;Devolução de mercadoria recebida com fim
6551;Venda de bem do ativo imobilizado
6552;Transferência de bem do ativo imobilizad
6553;Devolução de compra de bem para o ativo
6554;Remessa de bem do ativo imobilizado para
6555;Devolução de bem do ativo imobilizado de
6556;Devolução de compra de material de uso o
6557;Transferência de material de uso ou cons
6603;Ressarcimento de ICMS retido por substit
6651;Venda de combustível ou lubrificante de
6652;Venda de combustível ou lubrificante de
6653;Venda de combustível ou lubrificante de
6654;Venda de combustível ou lubrificante adq
6655;Venda de combustível ou lubrificante adq
6656;Venda de combustível ou lubrificante adq
6657;Remessa de combustível ou lubrificante a
6658;Transferência de combustível ou lubrific
6659;Transferência de combustível ou lubrific
6660;Devolução de compra de combustível ou lu
6661;Devolução de compra de combustível ou lu
6662;Devolução de compra de combustível ou lu
6663;Remessa para armazenagem de combustível
6664;Retorno de combustível ou lubrificante r
6665;Retorno simbólico de combustível ou lubr
6666;Remessa por conta e ordem de terceiros d
6901;Remessa para industrialização por encome
6902;Retorno de mercadoria utilizada na indus
6903;Retorno de mercadoria recebida para indu
6904;Remessa para venda fora do estabelecimen
6905;Remessa para depósito fechado ou armazém
6906;Retorno de mercadoria depositada em depó
6907;Retorno simbólico de mercadoria deposita
6908;Remessa de bem por conta de contrato de
6909;Retorno de bem recebido por conta de con
6910;Remessa em bonificação, doação ou brinde
6911;Remessa de amostra grátis
6912;Remessa de mercadoria ou bem para demons
6913;Retorno de mercadoria ou bem recebido pa
6914;Remessa de mercadoria ou bem para exposi
6915;Remessa de mercadoria ou bem para conser
6916;Retorno de mercadoria ou bem recebido pa
6917;Remessa de mercadoria em consignação mer
6918;Devolução de mercadoria recebida em cons
6919;Devolução simbólica de mercadoria vendid
6920;Remessa de vasilhame ou sacaria
6921;Devolução de vasilhame ou sacaria
6922;Lançamento efetuado a título de simples
6923;Remessa de mercadoria por conta e ordem
